"track","artist"
"Medley","Marisol"
"Good as Hell (feat. Ariana Grande) - Remix","Lizzo"
"Up","Olly Murs"
"Sinmigo","Mr. Kilombo"
"Atrévete-Te-Te","Calle 13"
"Another Love","Tom Odell"
"Te Espero Aquí","Pablo López"
"Little Talks","Of Monsters and Men"
"Tu Calorro","Estopa"
