"track","artist"
"I'll Be There for You (""Friends"" 25th Anniversary)","Meghan Trainor"
"You Know I'm No Good","Amy Winehouse"
"Jealous","Labrinth"
"Bonita","Juanes"
"Ilargia","Ken Zazpi"
"Sucker","Jonas Brothers"
"Mediterraneo","Joan Manuel Serrat"
"Guantanamera","Celia Cruz"
"Mucho mejor","Los Rodriguez"
"Copenhague","Vetusta Morla"
